bet_on,actual,edge,stake,profit,won
0,1,0.08259654190620325,10,-10.0,0
2,0,0.06953320776030958,10,-10.0,0
2,1,0.05313341278014083,10,-10.0,0
0,0,0.17569533902820317,10,14.5,1
2,0,0.03362838090162984,10,-10.0,0
2,0,0.19288168588081045,10,-10.0,0
0,1,0.07043639013424907,10,-10.0,0
0,0,0.15985992927936032,10,23.0,1
2,2,0.08652633731044762,10,12.7,1
0,2,0.045831004293141964,10,-10.0,0
2,0,0.09106201046871365,10,-10.0,0
2,2,0.17263619237421918,10,14.2,1
2,0,0.1655663998226286,10,-10.0,0
2,0,0.10214498551133361,10,-10.0,0
2,2,0.2723585114665515,10,31.0,1
2,0,0.07687550359080869,10,-10.0,0
2,1,0.09923799389996829,10,-10.0,0
0,0,0.25322475901898256,10,16.400000000000002,1
0,0,0.04224575843547268,10,19.1,1
2,2,0.08783537413013903,10,22.599999999999994,1
1,1,0.04255024891915318,10,35.0,1
2,2,0.11328217729018708,10,8.5,1
2,2,0.20168744892228868,10,12.0,1
0,2,0.29163968573880217,10,-10.0,0
2,2,0.07890959779758777,10,10.600000000000001,1
2,0,0.06682033312912222,10,-10.0,0
0,0,0.1083877363404605,10,12.400000000000002,1
2,0,0.09966451624033362,10,-10.0,0
2,2,0.07752838609596902,10,10.7,1
2,0,0.1891969150974373,10,-10.0,0
2,0,0.27014463895090624,10,-10.0,0
0,1,0.07616835370564501,10,-10.0,0
0,0,0.03558537488405544,10,14.600000000000001,1
2,0,0.1820675251090944,10,-10.0,0
2,1,0.15765484189873835,10,-10.0,0
0,0,0.056396452479655856,10,20.0,1
2,2,0.09406526329641351,10,21.0,1
2,0,0.21187115562508096,10,-10.0,0
1,2,0.10312184331094096,10,-10.0,0
0,0,0.06710297870146076,10,13.799999999999997,1
1,2,0.07310762680376112,10,-10.0,0
2,1,0.14396443222792626,10,-10.0,0
0,1,0.2905000584711013,10,-10.0,0
2,0,0.050642781527718006,10,-10.0,0
0,1,0.1765207497970343,10,-10.0,0
2,1,0.09802300048853918,10,-10.0,0
2,2,0.23050614915435563,10,19.900000000000002,1
2,1,0.09019103691606178,10,-10.0,0
2,2,0.11797433833177678,10,10.7,1
2,0,0.20339085082301517,10,-10.0,0
0,2,0.05974302280602514,10,-10.0,0
0,2,0.05003792534209717,10,-10.0,0
2,2,0.13405179038161447,10,11.7,1
2,2,0.12636475426030525,10,14.700000000000003,1
2,0,0.22505658692389885,10,-10.0,0
2,2,0.2465376067117474,10,26.5,1
2,1,0.06385210433148747,10,-10.0,0
2,0,0.11483017570943288,10,-10.0,0
1,2,0.10689019842063319,10,-10.0,0
0,1,0.044989752103316405,10,-10.0,0
2,0,0.12150048174834255,10,-10.0,0
2,0,0.1691662893463331,10,-10.0,0
0,2,0.24548863949920097,10,-10.0,0
2,1,0.1012119149273576,10,-10.0,0
2,2,0.1479855573931358,10,11.400000000000002,1
0,0,0.13070707832724482,10,40.0,1
2,0,0.05764845705219046,10,-10.0,0
0,2,0.11316875365609491,10,-10.0,0
2,2,0.13243549931819765,10,16.0,1
2,1,0.14088577648911255,10,-10.0,0
0,2,0.03610650486942041,10,-10.0,0
0,0,0.08727966803812326,10,24.5,1
