base_k,weight_function,weight_name,weight_params,train_accuracy,test_accuracy,train_logloss,test_logloss,train_brier,test_brier
25,sigmoid,"Sigmoid (steep=0.005, mid=200)","{'steepness': 0.005, 'midpoint': 200}",0.43781848230271314,0.4868355688027819,1.092605884036459,1.0639376184060336,0.6553911461894851,0.6335145823787969
25,polynomial,Polynomial (power=2),{'power': 2},0.4353394849194326,0.4868355688027819,1.095255164811986,1.0662790076298971,0.6570187752007547,0.6348364577030273
25,linear,Linear (max_diff=400),{'max_diff': 400},0.43575265114997935,0.48633879781420764,1.09458327228735,1.0655784554914676,0.6565943769286092,0.6344513173424738
25,sigmoid,"Sigmoid (steep=0.01, mid=200)","{'steepness': 0.01, 'midpoint': 200}",0.4361658173805261,0.4858420268256334,1.0939198239038248,1.0650441852665318,0.6561940215555527,0.6341501811445059
30,linear,Linear (max_diff=500),{'max_diff': 500},0.4338245420740945,0.4853452558370591,1.0981995528231785,1.068436145463273,0.6589265161124773,0.6364400992959617
10,exponential,Exponential,{},0.44318964329982097,0.4853452558370591,1.0847593927092092,1.0586659714657998,0.6512115243833447,0.6308808328622939
30,sigmoid,"Sigmoid (steep=0.01, mid=200)","{'steepness': 0.01, 'midpoint': 200}",0.43217187715190747,0.4853452558370591,1.097256181629117,1.067683186570087,0.6583148384680886,0.6359115344852811
25,linear,Linear (max_diff=500),{'max_diff': 500},0.43451315245833905,0.485096870342772,1.0947245797269474,1.0656374286468784,0.6566959160296082,0.634558391428527
30,linear,Linear (max_diff=400),{'max_diff': 400},0.43299820961300095,0.485096870342772,1.0980392929365526,1.0683060082218037,0.6588003182910669,0.6362728820561706
10,sqrt,Square Root,{},0.4412615342239361,0.48484848484848486,1.0840450991578414,1.0586890226639067,0.6511073431675155,0.6314412803834148
30,sigmoid,"Sigmoid (steep=0.01, mid=150)","{'steepness': 0.01, 'midpoint': 150}",0.43423770830464126,0.48484848484848486,1.0963858696483015,1.0669587006685837,0.6577395952813496,0.635376740459664
20,fixed,Fixed,{},0.4391957030712023,0.48484848484848486,1.0917708008551408,1.0632875339359282,0.6549032526662639,0.6332184025758305
25,polynomial,Polynomial (power=3),{'power': 3},0.43506404076573474,0.4843517138599106,1.0954347854145081,1.0663141278823842,0.6571697108833656,0.6350464346010989
30,sigmoid,"Sigmoid (steep=0.005, mid=200)","{'steepness': 0.005, 'midpoint': 200}",0.4343754303814902,0.48360655737704916,1.0956673340421934,1.0663515430880146,0.6573146555490486,0.6351253607880845
30,fixed,Fixed,{},0.4347885966120369,0.48335817188276203,1.099024878655186,1.0693372499864724,0.6595582669314267,0.6373396480066041
25,fixed,Fixed,{},0.4360280953036772,0.4828614008941878,1.0953948958348132,1.0662026264786324,0.6571840418156636,0.6351881327702934
30,polynomial,Polynomial (power=3),{'power': 3},0.43561492907313043,0.48261301539990065,1.0990982803177018,1.069448422316566,0.6595426290809429,0.6371352727810154
10,upset_multiplier,Upset Multiplier (x1.5),{'upset_mult': 1.5},0.4386448147638066,0.4696969696969697,1.0805712965502747,1.0596188196244427,0.6499932593964691,0.6352808341933195
15,upset_multiplier,Upset Multiplier (x1.5),{'upset_mult': 1.5},0.43561492907313043,0.4674615002483855,1.0826149410586399,1.0610290794378014,0.6511644262517758,0.6360172790587616
20,upset_multiplier,Upset Multiplier (x1.5),{'upset_mult': 1.5},0.43203415507505855,0.46696472925981125,1.0854319371359054,1.0621996214188136,0.6529217502612905,0.6366161129244904
25,upset_multiplier,Upset Multiplier (x1.5),{'upset_mult': 1.5},0.4276270486158931,0.4654744162940884,1.0885754630818532,1.0636391877810452,0.6548732316764196,0.6374350447265137
30,upset_multiplier,Upset Multiplier (x1.5),{'upset_mult': 1.5},0.42680071615479964,0.46199701937406856,1.0917358897324176,1.0659827261179726,0.6569418235475264,0.6389966143594943
10,upset_multiplier,Upset Multiplier (x2),{'upset_mult': 2.0},0.4361658173805261,0.455290611028316,1.0819857571162297,1.063507152971822,0.6513749489157166,0.6389607294468833
25,upset_multiplier,Upset Multiplier (x2),{'upset_mult': 2.0},0.41839966946701557,0.4542970690511674,1.0915637791583288,1.0682282249017665,0.6574362538333518,0.6419766430503923
10,upset_multiplier,Upset Multiplier (x2.5),{'upset_mult': 2.5},0.43148326676766285,0.45305514157973176,1.0835501237255698,1.0648833849610584,0.652576877838939,0.640338489978166
30,upset_multiplier,Upset Multiplier (x2),{'upset_mult': 2.0},0.4164715603911307,0.45106805762543467,1.0955408603864505,1.070494769157408,0.6600998234313233,0.643393705717904
15,upset_multiplier,Upset Multiplier (x2),{'upset_mult': 2.0},0.43051921222972045,0.45081967213114754,1.0845803061989503,1.0644043189192232,0.6530301852024311,0.6394412292329362
20,upset_multiplier,Upset Multiplier (x2),{'upset_mult': 2.0},0.42101638892714505,0.449826130153999,1.088205596898732,1.0655430162220074,0.6553473118476877,0.6403592005928991
10,upset_multiplier,Upset Multiplier (x3),{'upset_mult': 3.0},0.42845338107698666,0.44808743169398907,1.0850558081715589,1.0667844559555129,0.6535930782171092,0.641783062941351
20,upset_multiplier,Upset Multiplier (x2.5),{'upset_mult': 2.5},0.41977689023550474,0.4475906607054148,1.0914872596519,1.0694549942190128,0.6576572044981744,0.6433266182308267
20,upset_multiplier,Upset Multiplier (x3),{'upset_mult': 3.0},0.41771105908277095,0.4473422752111277,1.0944787521762924,1.0718223109400953,0.6599313708627552,0.6453330914400393
15,upset_multiplier,Upset Multiplier (x2.5),{'upset_mult': 2.5},0.4254234953863104,0.4473422752111277,1.0870869678487183,1.0666342572325547,0.6548551512250051,0.6414835207928794
25,upset_multiplier,Upset Multiplier (x3),{'upset_mult': 3.0},0.4122021760088142,0.446100347739692,1.1014409493393633,1.0769813778797053,0.6645472656087844,0.6485056556895339
30,upset_multiplier,Upset Multiplier (x3),{'upset_mult': 3.0},0.4086214020107423,0.44411326378539495,1.1084553716866405,1.0797703334394468,0.669108647185082,0.6506493980387024
15,upset_multiplier,Upset Multiplier (x3),{'upset_mult': 3.0},0.41826194739016664,0.44411326378539495,1.0900679235694306,1.0697121093384054,0.656946553570789,0.6440732327480488
25,upset_multiplier,Upset Multiplier (x2.5),{'upset_mult': 2.5},0.41523206169949045,0.44287133631395925,1.0961162904073722,1.07230203040078,0.6607295607206048,0.6449707748221086
30,upset_multiplier,Upset Multiplier (x2.5),{'upset_mult': 2.5},0.40944773447183586,0.44063586686537504,1.1008884919265858,1.0756657482022136,0.6638592101830114,0.6475423271332883
